GameType,Year,Units,Unit %Δ,Win Amount,Win %Δ,WPU,WUD,Win%
Slot Machines,2010,"167,008",-1.69%,"6,636,753",-2.73%,"39,739.13",108.87,6.19
Table Games,2010,"5,519",-1.57%,"3,632,777",6.10%,"658,231.02","1,803.37",11.7
BlackJack,2010,"2,867",-2.05%,"975,665",-3.26%,"340,308.69",932.35,10.68
Baccarat,2010,254,15.45%,"1,187,876",21.42%,"4,676,677.17","12,812.81",11.03
Craps,2010,397,0.76%,"385,493",9.25%,"971,015.11","2,660.32",12.45
Sports Book,2010,183,-1.08%,"151,096",10.79%,"825,661.20","2,262.09",5.47
Poker,2010,920,1.66%,"135,200",-7.13%,"146,956.52",402.62,
Slot Machines,2011,"164,343",-1.60%,"6,737,712",1.52%,"40,997.86",112.32,6.26
Table Games,2011,"5,459",-1.09%,"3,831,405",5.47%,"701,851.07","1,922.88",12.27
BlackJack,2011,"2,801",-2.30%,"1,044,114",7.02%,"372,764.73",1021.27,11.41
Baccarat,2011,259,1.97%,"1,262,087",6.25%,"4,872,922.78","13,350.47",12.48
Craps,2011,397,0.00%,"394,992",2.46%,"994,942.07","2,725.87",12.44
Sports Book,2011,183,0.00%,"140,731",-6.86%,"769,021.86","2,106.91",4.89
Poker,2011,872,-5.22%,"131,877",-2.46%,"151,235.09",414.34,
Slot Machines,2012,"159,845",-2.74%,"6,783,035",0.67%,"42,435.08",115.94,6.34
Table Games,2012,"5,362",-1.78%,"3,954,427",3.21%,"737,491.05","2,015.00",12.18
BlackJack,2012,"2,739",-2.21%,"995,472",-4.66%,"363,443.59",993.02,10.37
Baccarat,2012,278,7.34%,"1,374,919",8.94%,"4,945,751.80","13,512.98",12.14
Craps,2012,390,-1.76%,"385,209",-2.48%,"987,715.38","2,698.68",13.38
Sports Book,2012,182,-0.55%,"170,062",20.84%,"934,406.59","2,553.02",4.93
Poker,2012,809,-7.22%,"123,253",-6.54%,"152,352.29",416.26,
Slot Machines,2013,"156,766",-1.93%,"6,753,755",-0.43%,"43,081.76",118.03,6.42
Table Games,2013,"5,315",-0.88%,"4,265,270",7.86%,"802,496.71","2,198.62",13.04
BlackJack,2013,"2,704",-1.28%,"1,093,761",9.87%,"404,497.41",1108.21,11.98
Baccarat,2013,302,8.63%,"1,597,443",16.18%,"5,289,546.36","14,491.91",13.51
Craps,2013,386,-1.03%,"363,266",-5.70%,"941,103.63","2,578.37",13.55
Sports Book,2013,180,-1.10%,"202,838",19.27%,"1,126,877.78","3,087.34",5.6
Poker,2013,774,-4.33%,"123,891",0.52%,"160,065.89",438.54,
Slot Machines,2014,"153,491",-2.09%,"6,746,835",-0.10%,"43,955.90",120.43,6.4
Table Games,2014,"5,373",1.09%,"4,151,949",-2.66%,"772,743.16","2,117.10",12.62
BlackJack,2014,"2,726",0.81%,"1,066,382",-2.50%,"391,189.29",1071.75,12.01
Baccarat,2014,327,8.28%,"1,504,634",-5.81%,"4,601,327.22","12,606.38",12.48
Craps,2014,380,-1.55%,"368,485",1.44%,"969,697.37","2,656.71",13.69
Sports Book,2014,183,1.67%,"227,045",11.93%,"1,240,683.06","3,399.13",5.82
Poker,2014,736,-4.91%,"119,904",-3.22%,"162,913.04",446.34,
Slot Machines,2015,"149,364",-2.69%,"7,003,484",3.80%,"46,888.70",128.46,6.57
Table Games,2015,"5,346",-0.50%,"3,992,574",-3.84%,"746,833.89","2,046.12",12.94
BlackJack,2015,"2,672",-1.98%,"1,097,836",2.95%,"410,866.77",1125.66,12.16
Baccarat,2015,331,1.22%,"1,290,169",-14.25%,"3,897,791.54","10,678.88",12.6
Craps,2015,373,-1.84%,"382,788",3.88%,"1,026,241.29","2,811.62",13.94
