,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Former U.S.S.R.,0,0,0,0,0,0,0,415,590,593,548,460,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,--,--
        Former Yugoslavia,7.697591852,7.288417534,7.313990929,6.828096427,8.311353328,8.464793697,7.8,9.4,8.8,9.9,3.5,3.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,--,--
        France,74,70,69,75,50.76776,55.873973,59.931507,64.147945,72.060109,77.024658,80.632877,79.427397,89.043716,91.813699,95.449315,98.841096,105.224044,108.09863,127.424658,135.578082,140.095628,139.013699,136.745205,136.424658,142.224044,142.813699,148.224658,152.243836,152.907104,140.547945,142.142466,160.076712,154.620219,153.358904,152.613699,158.709589,154.374317,157.857534,164.106849,170.758904
        French Guiana,0.290937867,0.256025323,0.314212897,0.325850411,0.256025323,0.256025323,0.3,0.4,0.4,0.5,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.758333333,0.758238356,0.603983562,0.593120548,0.693333333,0.723476712,0.723476712,0.608328767,0.849333333,0.666989041,0.669161644,0.825589041,ie,ie,ie,ie,ie,ie,ie,ie
        French Polynesia,0.453067493,0.69470349,0.906134987,1.208179983,1.812269974,1.570633977,2,2.1,2.1,2,1.8,1.6,2,2,0.3,0.4,0.4,0.4,0.4,0.4,0.411666667,0.391068493,0.391068493,0.391068493,0.39,0.376946575,0.376946575,0.391068493,0.375916667,0.373904932,0.370863288,0.391068493,0.36985,0.36499726,0.371515068,0.386723,0.303333,0.312854795,0.34066411,0.34855066
        Gabon,0.222222222,0.242424242,0.222222222,0.282828283,0.242424242,0.222222222,0.2,1.2,2.2,1.2,1.2,1.6,0.9,0.2,0.9,1.5,1.6,1.7,1.7,1.6,1.343333333,1.477369863,1.607726027,1.433917808,1.148333333,1.173205479,1.08630137,0.847315068,0.866666667,0.890767123,1,1,1,1,1,1,1,1.064575342,0.52424904,0.49648318
"        Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.195534247,0.195534247,0.195534247,0.195,0.195534247,0.217260274,0.304164384,0.303333333,0.412794521,0.369342466,0.456246575,0.325,0.456246575,0.299819178,0.299819,0.303333,0.308509589,0.41887781,0.43452055
        Georgia,,,,,,,--,--,--,--,--,--,0.7,0.2,0.3,0.5,1,1,1.2,2.3,0.325,0.282438356,0.49969863,0.564876712,0.801666667,0.803863014,0.803863014,1.021123288,0.866666667,0.869041096,0.869041096,1.151479452,1.194931507,1.846712329,1.759808219,2,2,2.08569863,2.211275069,2.20892866
        Germany,,,,,--,--,--,--,--,--,--,104.665753,109.718579,114.789041,125.128767,125.30411,127.806011,134.413699,138.90137,146.849315,153.76776,147.087671,146.545205,150.046575,161.729508,174.545205,183.438356,190.158904,192.136612,187.463014,184.131507,176.660274,186.991803,190.027397,184.068493,184.306849,197.622951,215.2,221.052055,221.046575
"        Germany, East",0,0,0,0,0,0,0,0,0,11.67,11.167,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",61,63,57,58,82.844,87.419,93.641,98.175,105.992,102.409,106.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Ghana,0.506329114,0.443037975,0.506329114,0.443037975,0.506329114,0.443037975,0.5,0.6,1,0.5,0.4,0.6,1,1.1,1.3,1.1,1.1,1.1,1.1,1.2,2.101666667,1.651178082,1.977068493,2.607123288,2.318333333,2.58539726,2.498493151,2.67230137,2.578333333,2.715753425,2.346410959,2.933013699,3.055,2.867835616,2.476767123,2.759205479,3.280630137,3.954136986,3.87918219,4.82535068
        Gibraltar,0.026338827,0.029531412,0.026338827,0.020751803,0.019155511,0.043898045,0.06517,0.1,0.2,0.2,0.2,0.2,0.08666,0.0869,0.0869,0.0869,0.08666,0.0869,0.1,0.08690411,0.086666667,0.08690411,0.08690411,0.108630137,0.13,0.130356164,0.130356164,0.152082192,0.151666667,0.130356164,0.108630137,0.152082192,0.13,0.152082192,0.152082192,0.173808,0.173808,0.173808219,0.130356164,0.17965252
        Greece,18,17,18,19,17.437158,19.345205,17.158904,17.879452,19.808743,20.706849,26.408219,23.857534,24.803279,26.465753,28.216438,25.775342,25.404372,24.50411,24.805479,26.832877,27.409836,24.632877,23.873973,23.989041,24.846995,24.526027,26.90411,27.506849,27.967213,23.915068,19.257534,20.167123,20.579235,20.791781,23.117808,23.70411,25.163934,27.50411,30.131507,31.021918
        Greenland,0.035567866,0.033645279,0.032683985,0.023071048,0.03652916,0.032683985,0.021726027,0.021726027,0.1,0.1,0.043452055,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.281666667,0.282438356,0.282438356,0.282438356,0.28384697,0.438386375,0.471382088,0.467367466,0.468118107,0.417417299,0.375100082,0.46290486,0.359830462,0.347066649,0.36600257,0.333747753,0.336,0.613703786,0.36772351,0.39087841
        Grenada,0,0,0,0,0,0,0,0,0,0,0.06517,0.06517,0.065,0.0869,0.0869,0.08767,0.096,0.1,0.1,0.1,0.099270167,0.099822405,0.100102671,0.105918729,0.102533167,0.108154337,0.111930321,0.116886027,0.161416667,0.100156986,0.099505205,0.109933699,0.08645,0.081689863,0.114713425,0.120458,0.148089,0.156870782,0.15978363,0.19688254
        Guadeloupe,0.688369729,0.96371762,1.219397805,1.278400925,1.396407164,1.278400925,1.3,1.6,2,2.4,2.5,2.6,2.1,1.6,1.6,1.7,1.6,1.7,1.7,1.7,3.440666667,3.119857534,3.143756164,2.665783562,2.738666667,2.463731507,2.296441096,2.218227397,2.275,2.281232877,2.302958904,2.802657534,ie,ie,ie,ie,ie,ie,ie,ie
        Guam,3.56762465,4.994674509,3.853034622,3.710329636,1.284344874,0.656442936,1.1,1.5,1.5,1.1,5.1,7.8,5.7,9.2,11,9.4,9,10,9,7.7,2.782277322,9.929378105,7.8062,3.8248364,4.59002459,4.961591534,9.435141346,3.157515137,3.880867486,6.6374,7.1564,3.549,3.390696235,2.674821573,2.5,2.7,2.186294691,2.098630137,2.098630137,2.098630137
        Guatemala,0.753246753,0.649350649,0.649350649,0.675324675,0.597402597,0.675324675,0.6,0.9,0.8,0.9,0.6,0.9,0.7,0.6,0.7,1,0.6,0.6,1.1,1,1.04,0.977671233,0.782136986,0.847315068,0.931666667,1.542547945,1.520821918,0.564876712,0.498333333,0.456246575,1.325287671,1.194931507,0.845,0.825589041,0.412794521,1,1,2.042246575,2.19432877,2.12915068
        Guinea,0.055589117,0.054596454,0.055589117,0.056581779,0.056581779,0.052611128,0.06517,0.5,0.4,0.3,0.1,0.09,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.195,0.195534247,0.195534247,0.195534247,0.195,0.217260274,0.217260274,0.260712329,0.24635,0.257887945,0.262233151,0.260929589,0.261733333,0.260712329,0.267230137,0.26723,0.270833,0.271575343,0.36934247,0.62788219
        Guinea-Bissau,0.077506362,0.077506362,0.077506362,0.077506362,0.103341816,0.116259543,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.216666667,0.217260274,0.217260274,0.217260274,0.216666667,0.217260274,0.217260274,0.238986301,0.2275,0.22986137,0.231816712,0.237248219,0.239416667,0.243331507,0.255498082,0.260712,0.270833,0.273747945,0.27809315,0.28243836
        Guyana,0.217189436,0.265946248,0.206108342,0.183946155,0.206108342,0.21054078,0.2,0.2,0.1,0.1,0.1,0.6,0.2,0.2,0.2,0,0,0.2,0.3,0.3,0.2816385,0.217903364,0.22643083,0.22234851,0.212344167,0.210605592,0.180743167,0.192927123,0.189583333,0.198106608,0.187712877,0.203790137,0.315683333,0.221605479,0.238986301,0.272718,0.355942,0.381402627,0.37151014,0.36187877
        Haiti,0.489795918,0.326530612,0.408163265,0.326530612,0.326530612,0.391836735,0.4,1.1,1.2,1.2,0.4,0.4,0.3,0.3,0.2,0,0,0.4,0.5,0.6,0.585,0.716958904,0.738684932,0.391068493,0.498333333,0.49969863,0.521424658,0.434520548,0.433333333,0.369342466,0.434520548,0.369342466,1.17,2.042246575,0.738684932,1,1,0.49969863,0.4884011,0.48499011
        Hawaiian Trade Zone,26.55737705,30.68852459,28.32786885,26.55737705,31.86885246,30.74754098,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--
        Honduras,0.41025641,0.376068376,0.376068376,0.41025641,0.41025641,0.376068376,0.4,0.4,1.1,1.2,1,0.7,0.9,0.9,0.5,0.5,0.5,0.5,0.5,0.6,0.758333333,0.477972603,0.58660274,0.543150685,0.476666667,0.477972603,0.630054795,0.543150685,0.975,1.021123288,0.99939726,0.477972603,1.061666667,0.890767123,1.455643836,2,1,1.194931507,0.95594521,1.30138904
        Hong Kong,25.21662246,26.03006189,25.41998232,24.19982317,23.38638373,22.36958444,23,23,25,34,38,34,40,46,57,57,63,53,54,63,68.92512974,72.34841044,74.36543465,68.69854398,84.84232051,93.47604032,95.52078918,107.8920996,103.1628175,100.0743689,112.1806841,120.4513483,114.685569,121.4904799,119.9186525,127.172602,135.376963,134.3560782,148.7472466,134.5384247
        Hungary,0,0,0,2,2.972678,3.134247,3.156164,3.087671,3.122951,3.263014,3.454795,2.723288,2.855191,2.632877,3.972603,3.824658,4.046448,3.863014,4.030137,4.336986,4.819672,4.580822,4.315068,4.238356,4.846995,5.635616,5.69863,5.224658,5.795082,4.967123,4.942466,4.964384,3.57377,3.50137,3.690411,3.783562,4.153005,4.838356,5.961644,6.00274
        Iceland,1,1,1,1,1.20765,1.449315,1.010959,1.205479,1.270492,1.942466,1.728767,1.506849,1.52459,1.490411,3.176796,1.722388,1.939891,2.139726,2.50411,2.676712,2.953552,2.553425,2.243836,2.284932,2.606557,2.934247,3.909589,3.621918,3.103825,2.50411,2.747945,3.084932,3.142077,3.539726,4.076712,4.750685,6.404372,8,8.964384,6.728767
        India,25.80147835,29.25237592,29.57338965,31.01795143,33.06441394,35.91341077,38,36,39,40,37,38,36,51,44,45,47,48,46,47,48.72833333,49.01391781,49.29635616,53.96745205,60.905,71.58726027,86.53476712,98.70134247,95.83166667,100.5263288,110.3247671,118,115,118,123,132,147,161,178.5996169,177.7675974
        Indonesia,11.26832377,12.56639048,13.22923306,12.98066709,12.98066709,12.84257489,13,12,15,17,19,23,22,29,28,26,35,36,19,16,23.18333333,23.70309589,25.6149863,29.39531507,42.40166667,40.62767123,42.95235616,42.77854795,43.94,47.51482192,53.01150685,60.78942466,64.22,67.39413699,71.50035616,75,84,92.55075386,91.48830137,79.95845071
        Iran,10.6626506,10.48192771,11.92771084,14.18674699,13.82530121,14.27710843,15,10,9.2,12,14,24,24,26,35,13,35,15,14,2.7,18.93666667,19.48824658,17.33736986,18.87991781,17.225,18.48884932,22.63852055,21.89983562,22.14333333,26.33194521,27.78758904,24.44178082,24.78666667,25.41945205,27.11408219,29.11463591,31.70064889,33.61016438,34.50681926,27.72547433
        Iraq,6.222222222,6.136200717,5.878136201,7.168458781,6.88172043,7.397849462,8,7.3,9,11,18,5.4,7.8,17,21,24,24,9.2,12,12,11.15833333,11.73205479,11.62342466,10.77610959,12.52333333,13.60049315,14.79542466,15.1430411,15.75166667,16.81594521,17,17,7,9,11,11,14,13.88293151,5.37879951,4.99563929
        Ireland,5,5,4,5,3.923497,4.345205,6.367123,6.49589,7.508197,7.684932,7.668493,7.405479,6.456284,9.435616,8.39726,8.20274,7.551913,9.109589,9.413699,11.115068,12.846995,15.476712,16.432877,16.060274,15.180328,17.578082,18.153425,21.413699,19.893443,12.279452,15.712329,14.334247,11.991803,13.282192,15.323288,17.315068,17.762295,20.931507,22.605479,22.873973
        Israel,12,10,18,11,0,0,0,0,0,0,10.778082,10.419178,10.603825,12.956164,13.164384,14.454795,15.297814,13.789041,14.928767,12.863014,16.13388,14.134247,22.320548,22.210959,21.661202,21.712329,22.89589,23.652055,16.942623,16.342466,16.347945,17.463014,16.84153,17.408219,17.591781,18.638356,20.002732,22.482192,23.947945,24.717808
        Italy,30,18,10,12,35.718579,36.638356,36.6,36.854795,40.434426,43.178082,43.432877,50.413699,50.639344,52.610959,55.054795,58.443836,60.972678,63.013699,68.827397,75.043836,77.374317,69.065753,68.99726,78.216438,77.743169,81.632877,86.654795,91.342466,87.606557,79.706849,84.369863,86.010959,82.142077,79.778082,80.547945,83.854795,87.068306,90.153425,101.041096,103.69589
        Jamaica,4.330065359,3.758169935,3.18627451,3.349673203,2.859477124,2.532679739,2.5,2.8,2.9,3.1,3.2,3.2,3.3,3.4,4,4.1,4,3.8,4.5,5.5,3.661666667,3.628246575,4.410383562,4.432109589,4.506666667,4.127945205,5.366328767,6.561260274,3.553333333,3.584794521,4.041041096,4.106219178,3.726666667,3.75860274,3.997589041,4,4,4.410383562,4.62764384,5.03637396
        Japan,80,79,58,47,98.710383,103.331507,110.827397,119.427397,129.355191,142.263014,153.542466,159.057534,165.409836,168.180822,177.410959,195.780822,206.868852,214.868493,222.556164,221.980822,206.748634,215.112329,223.99726,212.89589,230.327869,227.087671,234.076712,228.09589,223.027322,198.243836,202.315068,194.668493,197.912568,219.115068,220.421918,222.232877,225.562842,232.693151,233.156164,239.936986
        Jordan,2.025764895,2.409017713,2.737520129,2.901771337,3.066022544,3.175523349,3.4,3.8,3.8,5.2,5.1,3.2,4.2,5,4.9,5.3,6.5,6.5,4.7,4.7,5.243333333,4.649369863,4.649369863,5.800849315,4.29,6.821972603,6.496082192,6.452630137,6.391666667,6.908876712,7.625835616,7.691013699,8.233333333,8,7,7,8,9.407369863,7.41074795,8.29934247
        Kazakhstan,,,,,,,--,--,--,--,--,--,21,11,6.8,7.4,8.1,7.8,5.2,6.9,4.94,3.019917808,4.280027397,3.67169863,5.005,5.453232877,5.887753425,7.43030137,7.41,5.866027397,8.234164384,7.039232877,6.778520548,4.736273973,6.778520548,7,8,11,15.88172603,16.16416438
        Kenya,6.11311054,5.814910026,5.814910026,5.516709512,5.367609254,5.516709512,5.8,2.7,5.5,6,6.6,5.2,6.8,7.7,4.6,7.1,9.6,7.2,9.1,10,9.36,9.059753425,10.21123288,10.58057534,11.28833333,12.14484932,12.88353425,13.88293151,12.11166667,12.40556164,11.73205479,14.57816438,14.53833333,11.9710411,11.49306849,14,13,14.12191781,14.64334247,15.35682521
        Kiribati,0.041983184,0.041983184,0.041983184,0.041983184,0.020991592,0.020991592,0.02172,0.02172,0.02166,0.02172,0.02172,0.02,0.02166,0.02172,0.02172,0.02172,0.02166,0.02172,0.02172,0.021726027,0.0117,0.011514795,0.021726027,0.021726027,0.021666667,0.021726027,0.032589041,0.063005479,0.060666667,0.049969863,0.032589041,0.021726027,0.02275,0.024767671,0.021943288,0.021943,0.0226,0.029981918,0.03041644,0.03085096
        Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.347616438,0.260712329,0.260712329,0.303333333,0.325890411,0.043452055,0.08690411,0.088,0.130356164,0.065178082,0.05253353
        Kuwait,9.847972973,10.77702703,10.96283784,11.42736487,11.14864865,11.24155405,11,10,10,10,7,5,5.2,5.4,7,8.1,8.4,8.9,10,8.2,7.886666667,8.494876712,9.885342466,15.53410959,11.57,12.51419178,12.03621918,13.18769863,14.755,16.55523288,15,15,14,13,16,16,16,19.7489589,19.85793666,20.37777532
        Kyrgyzstan,,,,,,,--,--,--,--,--,--,1.3,0.3,0.3,1.3,1.6,1,1.2,0.8,0.866666667,0.49969863,0.718923175,0.716958904,1.083333333,2.737479452,6.083287671,5.192520548,6.261666667,7.191315068,5.84430137,1.108027397,1.108027397,1.042849315,0.130356164,0.304164,3,0.456246575,0.130356164,0.13035616
        Laos,0.2,0.08,0.073333333,0.08,0.073333333,0.08,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9473685,1.02033246,0.985147159,1.143475584,1.087718667,1.565681819,1.583273384,0.703677784,0.631579,0.703677784,1.280899225,0.985307932,0.333233333,0.738980405,0.842100822,0.814726,0.8125,0.842969863,1.36830521,0.90163014
        Latvia,,,,,,,--,--,--,--,--,--,0.590164,0.591781,0.547945,0.591781,0.740437,0.832877,0.789041,0.876712,0.568306,0.569863,0.591781,0.854795,1.040984,1.230137,1.419178,1.69863,2.043716,2.136986,2.457534,2.454795,2.497268,2.589041,2.312329,2.246575,2.587432,2.958904,3.232877,3.317808
        Lebanon,0.589519651,0.550218341,0.537117904,0.563318777,0.537117904,0.628820961,0.6,0.2,3.6,3.7,2,2.4,2.3,1.8,3.2,3.8,3.9,2.4,2.3,2.8,2.708333333,2.780931507,2.759205479,2.715753425,2.751666667,3.193726027,2.237780822,2.824383562,3.618333333,3.802054795,4.801452055,4.866630137,4.485,6,5,4,5,5.866027397,5.73050044,5.87652107
        Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0.006517808,0.006517808,0.005431507,0.006283333,0.009776712,0.006300548,0.007169589,0.009966667,0.00782137,0.008690411,0.008690411,0.008666667,0.008690411,0.008690411,0.00869,0.008666,0.008690411,0.00735343,0.00456247
        Liberia,0.318737994,0.294219686,0.294219686,0.294219686,0.269701379,0.269701379,0.2,0.3,0.4,0.2,0.1,0.06517,0.065,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.108333333,0.108630137,0.325890411,0.391068493,0.495562167,0.425126214,0.363448195,0.224877419,0.192175533,0.255398142,0.343395071,0.352961041,0.5573295,0.326207611,0.382856055,0.241006,0.238333,0.238986301,0.2389863,0.2389863
        Libya,8.012820513,9.21474359,9.935897436,10.01602564,9.615384615,10.25641026,10,12,8,9,10,24,24,9.5,24,22,0,9,9.3,6.8,9.1,4.649369863,4.019315068,3.932410959,3.965,3.519616438,6.995780822,6.300547945,5.915,5.192520548,4,1,5,3,3,1,1,1.216657534,1.09255847,1.07861036
        Lithuania,,,,,,,--,--,--,--,--,--,1.420765,0.810959,0.838356,0.865753,0.721311,0.668493,0.613699,0.558904,0.557377,0.263014,0.328767,0.482192,0.31694,1.063014,1.194521,1.523288,1.704918,0.835616,1.139726,1.271233,1.387978,1.610959,1.863014,1.978082,2.196721,2.410959,2.783562,2.794521
        Luxembourg,1,1,1,1,1.461749,1.556164,1.742466,2.136986,2.262295,2.312329,2.761644,2.879452,2.786885,2.772603,3.49863,3.972603,4.308743,5.265753,5.934247,6.978082,6.70765,7.276712,7.884932,8.210959,8.909836,9.076712,8.49589,9.134247,9.172131,8.808219,9.043836,8.454795,7.778689,7.835616,8.515068,9.59726,10.617486,12.043836,12.879452,12.59726
        Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869,1.1,1.4,1.8,1.8,1.771643125,1.86866546,2.106901008,2.273111054,3.471766849,3.771879039,4.328474197,4.772999052,3.485634258,3.9631257,3.256655467,3.360041354,3.436780424,3.56681313,3.601275093,4.359438,4.072584,4.090238649,4.090238649,4.090238649
        Madagascar,0.031078686,0.02719385,0.023309014,0.031078686,0.031078686,0.033409587,0.02172,0.02172,0.02166,0.02172,0.02172,0.02172,0.02166,0.02172,0.02172,0.02172,0.02166,0.02172,0.02172,0.021726027,1.933508785,1.844847584,1.092476146,1.479005833,1.823859635,2.027240408,1.71334711,2.005268877,2.160771167,1.408215918,1.898309471,1.367331879,1.468246,1.130079315,1.173205479,1.207967,1.204666,1.068920548,0.24185414,0.26768638
        Malawi,0.24,0.28,0.232,0.192,0.184,0.216,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.433333333,0.154809025,0.112588402,0.209343961,0.190526267,0.163077082,0.206881099,0.228694682,0.232630667,0.171697101,0.173808219,0.173808219,0.173333333,0.173808219,0.173808219,0.154254,0.155133,0.169897534,0.19427414,0.09776712
        Malaysia,7.420531527,7.652423137,8.348097968,8.904637832,8.997394476,8.997394476,8.9,9.5,9.2,11,13,15,15,18,22,22,22,31,36,32,38.84833333,40.69284932,36.91252055,39.43273973,43.20333333,41.25772603,46.90649315,45.36394521,44.33,44.86424658,49.36153425,51.36032877,52.13,63.41827397,63.74416438,66,63,65.80813699,65.67778082,68.670628
        Maldives,0.021573577,0.021573577,0.021573577,0.021573577,0.086294307,0.086294307,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.9,1.1,0.4,0.0869,0.0869,0.08690411,1.495,0.477972603,0.282438356,0.282438356,0.342333333,0.282438356,0.369342466,0.291128767,0.509166667,0.554013699,0.464936986,0.666989041,2.0345,2.877308164,4.845425534,1.374171,0.663216,0.90380274,0.83862466,0.92118356
        Mali,0.361605529,0.482140705,0.361605529,0.361605529,0.361605529,0.397766081,0.3,0.3,0.0804,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.433333333,0.434520548,0.434520548,0.391068493,0.39,0.391068493,0.477972603,0.58660274,0.65,0.782136986,0.782136986,0.869041096,0.91,0.955945205,0.955945205,1.08630137,1.347013699,1.368739726,1.3470137,1.21448493
        Malta,1.095393681,1.196119536,1.259073196,0.856169773,1.183528804,0.755443918,1,1.3,1.8,2.1,2.2,2.3,2.8,2.9,3.1,3.1,3.1,3.1,3.7,3.7,2.578333333,1.933616438,1.890164384,1.67290411,2.123333333,1.846712329,1.629452055,1.890164384,2.708333333,1.933616438,2.150876712,2.237780822,2.145,2.237780822,2.368136986,2,3,2.954739726,3.345808219,3.4986291
        Martinique,0,0,0,0,0,0,0,0,0,2.2,2.2,0.4,0.6,1,0.4,0.4,0.4,0.4,0.4,0.4,3.000833333,2.763550685,2.791794521,2.665783562,2.5415,2.372482192,2.150876712,1.992276712,1.993333333,1.955342466,1.911890411,1.890164384,ie,ie,ie,ie,ie,ie,ie,ie
        Mauritania,0.367764024,0.350251451,0.350251451,0.350251451,0.525377177,0.525377177,0.3,0.3,0.4,0.4,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.446918333,0.441320795,0.436541068,0.498503699,0.521733333,0.538805479,0.360652055,0.360652055,0.333666667,0.447556164,0.382378082,0.36499726,0.494,0.443210959,0.447556164,0.499698,0.463666,0.443210959,0.48666301,0.44103836
        Mauritius,1.333333333,1.2,1.155555556,1.266666667,1.266666667,1.288888889,1.6,1.8,2,2.6,3.5,3.1,3.5,3.6,3.6,2.8,2.5,2.6,2.6,2.6,4.246666667,4.345205479,4.388657534,4.627643836,4.875,5.083890411,5.235972603,5.540136986,5.568333333,4.605917808,5.083890411,5.366328767,5.438333333,5.040438356,5.192520548,6,6,6.691616438,6.77852055,6.3747206
        Mexico,25,30,32,25,29.628415,31.00274,29.706849,30.673973,27.494536,32.706849,34.912329,36.356164,40.39071,43.043836,47.090411,44.232877,44.07377,46.4,51.580822,54.424658,54.467213,54.378082,52.391781,53.350685,56.661202,57.70411,60.191781,66.794521,63.726776,53.926027,54.772603,55.287671,58.39071,61.290411,65.49863,69.687671,74.882514,80.419178,84.358904,85.364384
        Micronesia,,,,,,,,,,,,,,,,,,,,,0.104284932,0.11080274,0.117320548,0.126010959,0.132528767,0.141219178,0.073868493,0.076041096,0.078213699,0.102112329,0.073868493,0.097767123,0.115147945,0.126010959,0.136873973,0.159469041,0.159469041,0.160989863,0.16272795,0.16446603
        Moldova,,,,,,,--,--,--,--,--,--,0.7,0.5,0.2,0.2,0.4,0.5,0.5,0.3,0.455,0.369342466,0,0.282438356,0.303333333,0.325890411,0.369342466,0.456246575,0.39,0.304164384,0.282438356,0.412794521,0.477972603,0.456246575,0.543150685,0.521424,0.693333,1.021123288,1.173205479,1.04284932
        Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02172,0.021726027,0.39,0.456246575,0.456246575,0.521424658,0.498333333,0.412794521,0.890767123,0.847315068,0.693333333,0.325890411,0.347616438,0.543150685,0.782136986,0.847315068,0.564876712,1,1,0.738684932,0.8755589,1.01243288
        Montenegro,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,0.325890411,0.238986301,0.303333333,0.043452055,0.043452055,0.217260274,0.26,0.282438356,0.369342466,0.391068,0.412794,0.434520548,0.49969863,0.45841918
        Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008690411,0.0065,0.011514795,0.001086301,0.008690411,0.00065,0.004345205,0.000434521,0.004345,0.002166,0.002172603,0.0021726,0.0021726
        Morocco,4.192719486,4.004282655,4.145610278,4.192719486,4.004282655,4.239828694,4.4,5.3,4.6,4.6,5.4,4,4.5,4.8,5.2,5.2,5.1,5.2,6.1,6,6.175,6.039835616,6.126739726,6.344,6.955,7.995178082,9.059753425,10.51539726,10.48666667,10.60230137,12.16657534,12.25347945,10.96333333,12.51419178,13.68739726,15,14,15.27339726,16.53170359,17.53290411
        Mozambique,1.750262913,1.480991696,1.750262913,1.750262913,1.615627305,1.750262913,0.9,0.9,0,1.1,1.3,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.6,0.6,0.91,1.260109589,0.847315068,0.825589041,0.866666667,0.955945205,1.173205479,1.998794521,1.256666667,1.455643836,1.390465753,1.281835616,1.516666667,1.67290411,3.389260274,1,1,1.433917808,0.82241704,0.94868871
        Namibia,,,,,,,--,--,--,--,2.1,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.5,1.04,0.49969863,0.412794521,0.651780822,0.325,0.195534247,0.608328767,0.869041096,0.866666667,0.869041096,0.934219178,0.977671233,1.04,1.08630137,1.173205479,1,1,0.890767123,0.86919318,0.86191496
        Nauru,0.104491995,0.104491995,0.104491995,0.104491995,0.104491995,0.104491995,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.065,0.043452055,0.021726027,0.017380822,0.013,0.010863014,0.009124932,0.016729041,0.0169,0.019336164,0.022812329,0.032589041,0.043452055,0.054315068,0.065178082,0.076041096,0.104284932,0.084731507,0.08212438,0.08060356
        Nepal,0.209997454,0.209997454,0.314996181,0.314996181,0.314996181,0.262496817,0.4,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.7,0.8,1,0.9,1.105,0.803863014,0.912493151,0.847315068,1.126666667,1.260109589,1.08630137,1.173205479,1.17,1.390465753,1.716356164,1.846712329,1.95,2.020520548,2.324684932,1,3,3.324082192,2.94000948,2.03740167
        Netherlands,17,31,22,21,22.237705,23.556164,25.994521,29.424658,31.756831,32.531507,33.789041,35.860274,41.382514,45.230137,47.323288,54.643836,58.199454,62.953425,66.369863,70.684932,70.122951,68.093151,71.161644,70.10137,74.663934,77.2,77.849315,78.391781,79.226776,73.641096,71.950685,74.679452,71.543716,73.312329,76.073973,79.761644,81.584699,84.076712,85.09863,83.287671
        Netherlands Antilles,1.413544669,1.296829971,1.231988473,1.154178674,1.102305476,0.92074928,0.9,0.9,1,1.7,1.7,1,1,1.3,1,1.3,1.3,1.3,1.4,1.4,1.581666667,1.629452055,1.629452055,1.629452055,1.646666667,1.694630137,1.759808219,1.824986301,1.841666667,1.781534247,1.824986301,1.846712329,2.442005479,2.481112329,2.511528767,2.528909589,2.546,2.570933,1.86843836,1.93361644
